product_image,category,sub_category,product_name,short_description,product_description,strain_type,thc_level,cbd_level,unit_count,unit_price,unit_count_type,brand_name,state,brand_description,brand_logos
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/Rub+2+oz.-TW.jpg,topical,balm,Rub: Amber Moon (2 oz.)  ,,"Rub our multi-herbal salve all over your abdomen, back, neck, legs, sore muscles, arthritic joints, and anywhere else you have pain or inflammation. Specifically formulated with a blend of analgesic and antispasmodic healing herbs, the thoughtful synergy of ingredients is what makes our balm so unique and effective. Enjoy our signature Amber Moon fragrance. ",hybrid,100 mg,25 mg,1,$12.50,unit,Whoopi & Maya,CA,"When the legendary Whoopi Goldberg decided to follow her heart and take a leap into the medical cannabis market, she went looking for the best ingredients, the best medicine and the most talented infuser she could find. Maya Elisabeth, the founder of Om Edibles since 2008, has won seven High Times Cannabis Cup awards, and enjoys a growing reputation as one of the best creators of medical cannabis products in California. The two women hit it off from the moment they met and quickly decided that the Whoopi & Maya Synergy would begin with a Signature Line of medical cannabis products designed specifically for relief from menstrual discomfort. As you will see, they have succeeded spectacularly. Soak, Savor, Rub & Relax -- with Whoopi & Maya",https://s3-us-west-1.amazonaws.com/greentap-temp-images/W%26M-logo.jpg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Products/Rub+2+oz.-TW.jpg,topical,balm,Rub: Unscented (2 oz.)  ,,"Rub our multi-herbal salve all over your abdomen, back, neck, legs, sore muscles, arthritic joints, and anywhere else you have pain or inflammation. Specifically formulated with a blend of analgesic and antispasmodic healing herbs, the thoughtful synergy of ingredients is what makes our balm so unique and effective.  Enjoy our unscented fragrance for those with skin imbalances/ sensitivities. ",hybrid,75 mg,25 mg,1,$12.50,unit,Whoopi & Maya,CA,"When the legendary Whoopi Goldberg decided to follow her heart and take a leap into the medical cannabis market, she went looking for the best ingredients, the best medicine and the most talented infuser she could find. Maya Elisabeth, the founder of Om Edibles since 2008, has won seven High Times Cannabis Cup awards, and enjoys a growing reputation as one of the best creators of medical cannabis products in California. The two women hit it off from the moment they met and quickly decided that the Whoopi & Maya Synergy would begin with a Signature Line of medical cannabis products designed specifically for relief from menstrual discomfort. As you will see, they have succeeded spectacularly. Soak, Savor, Rub & Relax -- with Whoopi & Maya",https://s3-us-west-1.amazonaws.com/greentap-temp-images/W%26M-logo.jpg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg,flower,,Last Man Standing - Willie's Reserve,,Crisp · Sweet · Berries,sativa,20%,,1,$35.00,1/8 oz,Flow Kana,CA,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients doors.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg,flower,,Sour Pineapple 17.87%THC,,,sativa,17.87%,,1,$30.00,1/8 oz,Flow Kana,CA,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients doors.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg,flower,,Strawberry Lemonade 17.80% THC,,,sativa,17.80%,,1,$30.00,1/8 oz,Flow Kana,CA,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients doors.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg,flower,,Black Lime 22.9%THC,,Earl Gray Tea · Sweet · Citrus,indica,22.90%,,1,$30.00,1/8 oz,Flow Kana,CA,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients doors.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg,flower,,Coyote Blue,,Sweet · Vanilla · Plum,indica,15.70%,,1,$30.00,1/8 oz,Flow Kana,CA,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients doors.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg,flower,,Sangria,,,indica,20.30%,,1,$30.00,1/8 oz,Flow Kana,CA,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients doors.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg,flower,,Lady Benbow THC 7.3% CBD 10.1%,,,hybrid,7.30%,10.10%,1,$30.00,1/8 oz,Flow Kana,CA,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients doors.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg,flower,,Rising Pines THC 8.56 % CBD 11.53%,,,hybrid,8.56%,11.53%,1,$30.00,1/8 oz,Flow Kana,CA,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients doors.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg
https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg,flower,,Frosta Mon 21.67% THC,,,sativa,21.67%,,1,$14.00,unit,Flow Kana,CA,"Flow Kana is a different kind of cannabis business. We want to change the way our patients think about cannabis and the world as a whole.

Our values are simple. Respect the land and the medicine that it produces. No contaminants, no fancy packaging, no overpriced storefront. We bring the best of the farm to our patients doors.",https://s3-us-west-1.amazonaws.com/greentap-temp-images/Flow+Kana+Logo.jpeg
